collection_id,display_name,stage,clear_count,butt_file,face_file
001,ダークモカ,1-1,1,001_darkmocha_butt.png,001_darkmocha_face.png
002,ぱんな,1-1,2,002_panna_butt.png,002_panna_face.png
003,かぬれ,1-1,3,003_kanure_butt.png,003_kanure_face.png
004,こった,1-2,1,004_kotta_butt.png,004_kotta_face.png
005,らりまー,1-2,2,005_rarima_butt.png,005_rarima_face.png
006,こふれ,1-2,3,006_kofure_butt.png,006_kofure_face.png
007,ファッジ,1-3,1,007_fudge_butt.png,007_fudge_face.png
008,すぷもーね,1-3,2,008_supumone_butt.png,008_supumone_face.png
009,ネージュ,1-3,3,009_neige_butt.png,009_neige_face.png
010,まふぃん,1-4,1,010_muffin_butt.png,010_muffin_face.png
011,ぱいこ,1-4,2,011_paiko_butt.png,011_paiko_face.png
012,ブラウニー,1-4,3,012_brownie_butt.png,012_brownie_face.png
013,ぱるふぇ,1-5,1,013_parfait_butt.png,013_parfait_face.png
014,リコッタ,1-5,2,014_ricotta_butt.png,014_ricotta_face.png
015,アフォガート,1-5,3,015_affogato_butt.png,015_affogato_face.png
016,ふぉんでゅ,1-6,1,016_fondue_butt.png,016_fondue_face.png
017,さぶれ,1-6,2,017_sabure_butt.png,017_sabure_face.png
018,キャラメリゼ,1-6,3,018_caramelize_butt.png,018_caramelize_face.png
019,アマレッティ,1-7,1,019_amaretti_butt.png,019_amaretti_face.png
020,カフェモカ,1-7,2,020_cafemocha_butt.png,020_cafemocha_face.png
021,コンパナ,1-7,3,021_conpana_butt.png,021_conpana_face.png
022,ぷらりね,1-8,1,022_praline_butt.png,022_praline_face.png
023,ロッシェ,1-8,2,023_roche_butt.png,023_roche_face.png
024,びち子,1-8,3,024_bichiko_butt.png,024_bichiko_face.png
025,しゅくれ,1-9,1,025_shukure_butt.png,025_shukure_face.png
026,フラン,1-9,2,026_flan_butt.png,026_flan_face.png
027,カフェオレ,1-9,3,027_cafeaulait_butt.png,027_cafeaulait_face.png
028,ホワイトモカ,1-10,1,028_whitemocha_butt.png,028_whitemocha_face.png
029,フィナンシェ,1-10,2,029_financier_butt.png,029_financier_face.png
030,ソイ・ラテ子,1-10,3,030_soylateko_butt.png,030_soylateko_face.png
